,aID,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,   ,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content,whole_art,word
769,52,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.18,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,5,負責引擎生產的製程改...,"很台商
要很會做報...",負責引擎生產的製程改。很台商。要很會做報,"['負責', '引擎', '生產', '製程', '台商', '報']"
783,53,品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.29,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,10,10,任何跟車輛品質相關異...,近幾年裕隆轉變很大....,任何跟車輛品質相關異。近幾年裕隆轉變很大.,"['跟車', '品質', '相關', '裕隆', '轉變']"
795,54,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.22,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,生技分三個部門 動力...,年薪不錯 基本上有1...,生技分三個部門 動力。年薪不錯 基本上有1,"['生技', '部門', '動力', '年薪', '不錯']"
807,55,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.13,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,傳產環境 公司整個是...,不太適合年輕人吧 整...,傳產環境 公司整個是。不太適合年輕人吧 整,"['傳產', '環境', '公司', '適合', '年輕人']"
819,56,管理師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.09,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,2,4,"辦公室老舊
開放式...","同事很多老人
氣氛...",辦公室老舊。開放式。同事很多老人。氣氛,"['辦公室', '老舊', '開放式', '同事', '老人', '氣氛']"
826,57,生產技術工程師,裕隆集團_裕隆汽車製造股份有限公司,2023.03.06,全職,苗栗,45-46k,720-730k,120k,38k,18k,12k,想換工作了,常常加班,10 hr,3,5,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待。1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難。2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,"['公司', '老公司', '做法', '老派', '穩定', '穩穩', '解析', '車子', '問題', '公司', '內部', '流程', '做法', '解析', '動作', '困難', '主管', '使用', '活動', '減少', '成本', '提高', '產能', '活動', '造成', '工程師', '困擾', '一直', '壓迫', '工程師', '裕隆', '朋友', '喜歡', '報告', '報告', '適合', '報告', '場合', '報告', '主管', '主管', '看法', '意見', '效率', '事情']"
953,58,工程師,裕隆集團_裕隆汽車製造股份有限公司,2023.02.28,全職,苗栗,43-44k,680-690k,86k,86k,,,有苦說不出,常常加班,9 hr,1,10,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來",報告很多，實用價值低。會議很多，有開等於沒開，開完一堆追蹤。對主要專精車輛事業不如中華汽車。老派管理思維。總經理罵人已達羞辱等級。老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來。抗壓、奴性強可來。不在意工作樂趣可來。不追求成就感可來。想比傳產還高年終者可來,"['報告', '實用', '價值', '低', '會議', '等於', '開開完', '追蹤', '專精', '車輛', '事業', '中華', '汽車', '老派', '管理', '思維', '總經理', '罵人', '達', '羞辱', '等級', '老鳥', '冷莫', '流動性', '高', '新人', '提', '熱情', '報告', '製作', '抗壓', '奴性', '強', '在意', '工作', '樂趣', '追求', '成就感', '傳產', '高', '年終']"
1033,59,品檢技術員,裕隆集團_裕隆汽車製造股份有限公司,2022.11.23,全職,苗栗,31-32k,560-570k,150k,40k,,,有苦說不出,很少加班,9 hr,8,10,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,"['零件', '進料', '檢出', '關係', '企業', '供應商', '不好', '搞', '搬出', '集團', '長官', '壓', '廠商', '送來', '零件', '出貨檢', '公司', '料檢', '檢驗', '零件', '玩', '充實度', '檢驗', '零件', '時間', '上廁所', '時間', '傳產', '薪資', '待遇', '科技業', '不人性', '管理', '苗栗', '義', '銅鑼', '附近', '推薦', '三思學', '車廠', '經驗', 'OK', '不宜', '久待', '廠房', '設備', '集團', '沒心', '投資', '未來', '走向', '全面', '進口', '代理', '路線']"
1127,60,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.09.20,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,1,6,"工程師做PM的工作,...",公司架構無產銷人發財...,"工程師做PM的工作,。公司架構無產銷人發財","['工程師', 'PM', '工作', '公司', '架構', '產銷人', '發財']"
1138,61,銷售員,裕隆集團_裕隆汽車製造股份有限公司,2022.09.01,全職,臺北,,,,,,,平常心,很少加班,8 hr,1,1,在信義區的汽車銷售中...,對汽車銷售有興趣的可...,在信義區的汽車銷售中。對汽車銷售有興趣的可,"['信', '義', '汽車', '銷售', '汽車', '銷售', '有興趣']"
