,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
66,IE工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.03.22,全職,苗栗,,,,,,,還算愉快,偶爾加班,10 hr,3,3,產線工時平衡規劃、工...,年終還不錯的公司，中...
67,設備維修員,裕隆集團_裕隆汽車製造股份有限公司,2021.02.03,全職,苗栗,,,,,,,有苦說不出,偶爾加班,8 hr,4,0,設備不能停，設備老舊...,目前維修這塊老一輩退...
68,管理師,裕隆集團_裕隆汽車製造股份有限公司,2020.11.06,全職,臺北,,,,,,,平常心,偶爾加班,8 hr,1,0,看情況，去不到一個月...,年薪給的不錯，加班費...
69,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.11.04,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,11,0,沒有誠信可言的公司，...,別去沒有誠信的公司上...
70,高級專員,裕隆集團_裕隆汽車製造股份有限公司,2020.11.03,全職,臺北,,,,,,,有苦說不出,準時上下班,9 hr,3,0,傳統產業，因集團龐大...,是一個可以學習集團運...
71,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.10.20,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,2,0,工作內容偏雜，除了N...,薪資只能說尚可，要對...
72,工業工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.09.27,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,3,0,傳統產業思維；勞力密...,適合當新手村，剛出社...
73,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.09.21,全職,苗栗,,,,,,,平常心,常常加班,9 hr,2,0,福利比上不足、比下有...,這只是份工作，老闆要...
74,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.07.30,全職,臺中,,,,,,,平常心,偶爾加班,10 hr,3,0,車型開發，設備導入，...,對汽車有興趣者，不排...
75,機械工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.07.04,全職,苗栗,,,,,,,有苦說不出,常常加班,11 hr,5,0,工作充實，福利佳，工...,有別於一般的傳統製造...
76,生產技術工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.06.11,全職,苗栗,,,,,,,想換工作了,賣肝拼經濟,13 hr,3,0,加班換抵休，年資週期...,企業文化不看重技術層...
77,財務管理師,裕隆集團_裕隆汽車製造股份有限公司,2020.05.24,全職,苗栗,,,,,,,平常心,偶爾加班,8 hr,2,0,公司規模大，遇事溝通...,傳產氛圍，需思考是否...
78,管理師,裕隆集團_裕隆汽車製造股份有限公司,2020.05.14,全職,新竹,,,,,,,還算愉快,常常加班,10 hr,1,0,同事很友善，長官很難...,工作都快做不完了，常...
79,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.05.05,全職,苗栗,,,,,,,平常心,偶爾加班,12 hr,1,0,工作內容是工廠的管理...,對於資料統整、統計學...
80,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.05.03,全職,苗栗,,,,,,,還算愉快,常常加班,12 hr,1,0,福利很好，旅遊、三節...,報告比較多，若對於報...
81,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.04.07,全職,苗栗,,,,,,,有苦說不出,常常加班,11 hr,9,0,原則上做報告時間會佔...,現況約每兩年調一次薪...
82,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.03.23,全職,苗栗,,,,,,,平常心,偶爾加班,12 hr,1,0,福利很好，案子忙的時...,是個還不錯的大公司，...
83,生產技術工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.03.17,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,處理產線相關問題做成...,"如果想存錢可以來,這..."
84,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.03.03,全職,苗栗,,,,,,,平常心,常常加班,10 hr,4,0,主要做日產及納自捷的...,剛有提到會1-2年可...
85,工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.02.17,全職,苗栗,,,,,,,有苦說不出,偶爾加班,10 hr,2,0,處理汽車製造產線的一...,"如果是像存錢可以來,..."
86,IE工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.02.04,全職,苗栗,,,,,,,有苦說不出,常常加班,11 hr,3,0,年終高，有端午、中秋...,比上不足，比下有餘的...
87,Ie,裕隆集團_裕隆汽車製造股份有限公司,2020.01.07,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,3,0,上班不會太操，但就是...,符合養老的人來，沒有...
88,機電整合,裕隆集團_裕隆汽車製造股份有限公司,2019.11.29,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,公司不會讓人太晚下班...,建議想安穩的可以考慮...
89,工程師,裕隆集團_裕隆汽車製造股份有限公司,2019.08.19,全職,苗栗,,,,,,,有苦說不出,常常加班,9 hr,1,0,主管無帶人能力且無專...,新鮮人開開眼界洗履歷...
90,機械工程師,裕隆集團_裕隆汽車製造股份有限公司,2019.07.16,全職,苗栗,,,,,,,非常開心,準時上下班,8 hr,4,0,年終很多，正常上下班...,要很會做報告，最好要...
91,採購工程師,裕隆集團_裕隆汽車製造股份有限公司,2019.06.26,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,地方偏遠，有很深的公...,可以來練基本工，常要...
92,電動車系統開發工程師,裕隆集團_裕隆汽車製造股份有限公司,2019.04.29,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,工作地點就在廠端，地...,如果是對軟體研發有興...
93,接待,裕隆集團_裕隆汽車製造股份有限公司,2019.02.12,全職,臺中,,,,,,,平常心,常常加班,8 hr,4,0,學習好地方 這個地方...,學習好地方 這個地方...
96,生產技術部工程師,裕隆集團_裕隆汽車製造股份有限公司,2018.10.13,全職,苗栗,,,,,,,有苦說不出,偶爾加班,-,7,0,薪水待遇對比工作量，...,
98,HR,裕隆集團_裕隆汽車製造股份有限公司,2018.08.27,全職,苗栗,,,,,,,有苦說不出,常常加班,-,1,0,還不錯但地處偏遠...,
99,HR,裕隆集團_裕隆汽車製造股份有限公司,2018.08.22,全職,苗栗,,,,,,,有苦說不出,偶爾加班,-,1,0,福利好 起薪高...,
