,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
20,Data Scientist,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.26,全職,桃園,82-83k,1350-1360k,164k,,205k,,平常心,偶爾加班,9 hr,3,3,"資料科學部門在美光是一個很大的部門, 團隊成員來自世界各地, 幾乎一起合作的成員都不會講中文, 所以必須有流暢的英語能力, 建議先確定自己能夠適應不同國家的人的英語口音再應徵. 工作內容以開發機器學習及深度學習演算法為主. 但是資料科學在美光算是紮根不深, 所以上面的老闆(包括基層帶人主管)基本上並不懂AI領域. 但是老闆彈性給得很足, 有任何想做的方向都可以討論","美光不是軟體公司, 是硬體公司, 而且美其名是一間外商, 本質上就是瑞晶留下來的老人在管事, 基本上就是一間台商. 想進外商的各位要好好考慮. 新人拿來練練手沒有問題, 有資歷的人就自己考慮吧"
21,助理工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.19,全職,臺中,48-49k,780-790k,84k,,120k,,還算愉快,準時上下班,10 hr,3,12,"每日工作10小時負責機台PM與簡易維修
環境優越待遇良好餐廳伙食選擇多~上班無須打卡
競爭壓力大~每年有淘汰制度
新廠設施優良",與同事相處比工作能力重要~上班較其他公司自由度高~但壓力大~出事需向上級回報~寫工作日誌+報告
22,製程,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.19,全職,臺中,62-63k,930-940k,187k,,,,平常心,常常加班,9 hr,2,2,工作性質是維護產線，較難有成就感，工作步調快，需跟設備、製造部門打好關係會比較好做事，常常需應付HL心會有點累，進行專案的流程冗長繁雜，除了要填表格送單申請，沒填過沒人教真的不知道怎麼做，花很多時間在這種瑣事上，專案的進行也要找製程整合的人來評估（有時候會遇到人很難找或不同人標準不ㄧ的狀況）,顧的機台好不好很吃運氣，撈data做報告的速度要練，剛開始會有mentor制度還不錯，此外要找到調適壓力的管道很重要
23,製程工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.13,全職,臺中,65-66k,1210-1220k,130k,6000,300k,,平常心,很少加班,9 hr,4,4,工作內容大致上是提升產品良率，異常處理，維持產線正常運作，SPEC編寫，SPC 監控。異常發生時要負責分析和撰寫報告，專案管理，需要降低生產成本，提高生產速度。,臨機應變能力要好，老闆要報告會要很急，平常大部分時間都在開會，要自己找時間進產線學習，不會有人逼你和監控你，必須自己安排好時間
24,工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.12,全職,臺中,70-71k,1180-1190k,,140k,200k,,平常心,常常加班,10 hr,2,2,工作內容較為routing ，上升空間較少，與傳言的台商的薪資、外商的工時完全相符，但我也做了兩年，公司同事彼此都有一定的革命情感，可能很苦吧，最常抱團去公司附近的ktv 唱歌。,建議新人要審慎思考後再來，因為偏辛苦，我是來到新單位才發現自己薪水偏可憐，但公司的飲食不錯，尤其同一層零食櫃有夠飽！
25,製程工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.12,全職,臺中,80-81k,1160-1170k,200k,,,,想換工作了,賣肝拼經濟,16 hr,2,4,"我是owner管一個製程，這裡很特別的是，蜜月期非常明顯，當然前一個月有新人訓練的關係，導致跟其他部門的新人都混得很好，那一個月是我在美光在歡樂的時光，每天上課上到五點準時下班在跟組員一起去后里夜市覓食。

新人訓練結束後才是惡夢開始，老鳥欺壓新人，主管早會電人，每天都是者種噩夢日常，主管常常早上要我準備檢討報告，晚上邀請一堆M2 M3來電你，真的很慘
另外新人訓練根本沒什麼幫助......",周圍也是有朋友撐下來，但也是待個兩三年就離職，我覺得自己也滿厲害的，那段時間都有心理諮商，因為美光的主管也習慣這種氣氛，就是學長學姊制很嚴重，很像軍隊的管理...
26,廠務工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.02.04,全職,臺中,61-62k,920-930k,61k,61k,70k,,還算愉快,很少加班,8 hr,1,7,"一般巡檢抄錶
還有用電的分析
緊急異常排除
很少發包工項
PM項目比較少
系統算是很穩定
若還有不清楚的可以私下問我
或者我幫內推","跟台廠比起來 工作算是輕鬆

沒什麼責任重大的工事
但要小心景氣不好畢竟是美商還是會裁員
建議一開始薪資拉高"
27,Industry Engineer,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.01.31,全職,臺中,74-75k,1250-1260k,148k,,222k,,有苦說不出,偶爾加班,10 hr,3,3,"主要是負責工廠未來3年規劃, 因為預算限制和諸多的gap, 常需要與工程單位溝通去最大化效益並且降低成本. 會使用到很多專案管理的手法以及概念, 也需要跟台灣以外的國家開會, 良好的邏輯以及語言能力是必要的","建議有一定的抗壓性並且對數字有敏感度, 對於其他單位給的質疑要適時地去協調溝通, 主管不一定會完全幫忙解決問題, 專案管理的手法是很重要的"
28,OP,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.01.31,全職,臺中,50-51k,600-610k,,,,,想換工作了,很少加班,12 hr,1,1,在ROC顧機台、真不是人幹的、ㄧ個人顧4.50台、ㄧ分鐘都不允許機台idea.動不動就要人寫報告主管只會在那裡聊天打屁他都不知道其他的人聽到他們在那邊聊天心裡有多幹嗎？這裡說是以人為本.全部都是騙人、其他台廠的公司的人情味都比這裡好太多太多了，在這裡真的很沒尊嚴。這裡最會的就是對外宣傳做公益做給外面的人看以為這間公司制度什麼有多好，只要進來的人都只會搖頭真的有夠爛,真的不要進來，人與人之間的相處真的有夠心機，在這裡真的過得很沒尊嚴被罵三字經也只能接受主管才不會去理會這些事情
29,製程工程師,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.01.20,全職,臺中,70-71k,980-990k,140k,6000,,,有苦說不出,賣肝拼經濟,10 hr,5,5,確認製程參數變化，針對變化作調整找root cause，不小心MO要寫報告，建議細心的人來半導體產業工作，除了製程部分還有很多雜事要做，常常過五點後才開始能做自己的事情,建議細心的人來半導體，每天要確認的東西太多了，一個不小心就會需要寫檢討報告，2023年今年半導體產業相對沒那麼好，建議新鮮人不要將半導體公司列為首選
30,製成整合,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.01.04,全職,桃園,67-68k,1140-1150k,130k,,200k,,有苦說不出,常常加班,10 hr,1,1,要顧產品正在生產中的狀況，會有量測站點去觀看產品做得好不好有沒有out 出我們的criteria。要每天看inline 的chart 有沒有正常如果沒有正常要快速的找原因，找出可疑的機台或是原因High light 出來跟各部門解決問題。當中會有爭執也會有推託，同事考驗領導能力。,"半導體產線真的不是簡單的工作，常常需要在短時間內做很多和學很多事情。
想清楚後再進來，不然生活會變得很不快樂，相反的如果可以勝任這份工作會覺得很有成就感"
31,產品副理,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,2023.01.03,全職,臺中,190-191k,3110-3120k,380k,,450k,,還算愉快,很少加班,8 hr,8,12,"美商文化開放，可認識來自世界各地的人及文化，但現在一些上位者是前台廠的人，整併之後帶來一些讓人不是很習慣的台廠文化陋習，但還是不乏一些真的開明的主管，所以你活的好不好，跟你的直屬老闆和 report chain ,很有關係。你的分紅跟你的performance ，有直接關係，如果公司有達100%的目標達成率，最多大概就是年薪的36%，很難像一些台廠賺得多就發越多的狀況。",有企圖心積極想往上的的速度會很快，但一定有一些難免會遇到的政治問題，但試著站在更高的角度看事情並報持著解決問題的態度，一定會有開明的主管看到你，面對問題對事不對人，相信還是可以保持心情平靜。
