,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
76,材料工程師,汎德永業汽車股份有限公司,2023.01.09,全職,新竹,45-46k,540-550k,,,,,想換工作了,賣肝拼經濟,16 hr,1,1,"1.進行化學實驗，重複做，提供數據，給予經理找參數。
2. 改善產品如晶片與農藥檢測模組的良率
3. 開發農藥檢測與降解專案
3. 行政事務，即時出貨。
4.同事都好相處，全公司聽過產品部經理大發雷霆，經常性情緒失控，","1. 工程經理會在辦公室大發雷霆，對上司吼叫，但上司也無法可管，要小心不要跟到部門。
2..雖是工程師，都是重複性助理工程師的腳色，每天加班到半夜12點。"
77,產品訓練專員,汎德永業汽車股份有限公司,2022.12.05,全職,臺北,35-36k,450-460k,35k,,,,平常心,偶爾加班,8 hr,1,1,"工作地點在內湖的保時捷，主要負責對內湖以及基隆路兩個展間的所有業務做產品教育訓練課程，兩個展間的業務加起來大概將近50人，偶爾支援行銷部的活動拍一些影片等等，
並且負責taycan充電樁的建置專案，工作內容算有趣，也可以常常接觸到車子或開到車子 ，不過完全沒有甚麼福利就是了，一切比照勞基法，有加班過幾次但主管不太給報...",其實若是喜歡保時捷的人，不太介意薪資或福利的話，是可以嘗試看看，是能學習到不少東西，當個很好的跳板，簡報能力要強，因為幾乎每周都要幫業務上課
78,會計專員,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,2023.02.17,約聘,臺北,32-33k,380-390k,,,,,非常開心,準時上下班,8 hr,1,1,工作負擔並不會很重，基本上就是準時上下班，負責的內容包括基本的帳務處理，以及準備內部管理報表給主管。因為是約聘所以沒什麼特別的福利，基本上就是照著勞基法的規定。,公司內部氣氛良好，財務部門人很多，公司旗下有很多品牌(包含經銷及代理)，整體來說是個可以學到東西的地方。
79,引電實習生,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,2023.01.15,實習,臺中,26-27k,310-320k,,,,,非常開心,常常加班,9 hr,1,1,"引電這邊一開始會有師傅來帶你，一開始就是先基本的小保養換換機油等等，熟了後再來是大保養換變速箱油、正時皮帶。
也會叫你去上下變速箱換離合器閥體等等，在這邊真的能學到很多。但是經常加班，就看能不能成受了，加班也會有加班費。整體來說還不錯，但很累。",修車真的是個體力活，我將來也不確定是否要繼續做技師，我應該是轉去當服務專員，錢多也比較有升遷管道，技師不知到是否能做的長久。
80,機車法規認證專員,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,2022.12.05,全職,臺北,35-36k,490-500k,70k,,,,想換工作了,偶爾加班,8 hr,1,1,工作內容是負責太古旗下代理的機車品牌的法規認證，就是新車領牌前要做的一些測試(汙染、噪音、安全、油耗等)，以及一些申請合格證的作業，工作會時常出差(到ARTC 工研院之類的)，直屬主管法規經理，有點micro manage，講話態度口氣也都很差~很像在罵小孩，後來覺得受不了就離職ㄌ,建議汽車工程相關科系剛畢業的人，可以到太古磨練一下，太古其實就是汽車產業的新手村，可以學到滿多東西的，以及了解台灣汽車產業總代理及原廠端具體是如何操作，但太古的法規部門就不建議去了，這主管真的不太會帶人，只是交辦你做東做西，沒有學到太多法規相關的知識，還要整天被兇被罵，應該不是我抗壓性太低吧??
81,PM,匯豐汽車股份有限公司,2023.03.17,全職,臺北,34-35k,610-620k,200k,2000,,,平常心,很少加班,8 hr,3,4,傳統產業，部門氣氛融洽，同事人都很好，主管為三年左右論調一次，無空降主管，大公司制度流程較sop，官制也蠻重的，很多專案都幾乎是長官說的是，做的事情滿雜的，步調較慢，例行公事也算很多，公司喜歡看很多報表。,較建議新鮮人或養老的人來～這邊容錯率高、注重私生活，下班基本上不吵你，員工旅遊也會去國外，我覺得適合安逸的人待！
82,客服專員,匯豐汽車股份有限公司,2023.03.16,全職,臺北,33-34k,450-460k,60k,3000,,,非常開心,很少加班,8 hr,2,2,電話客服，一直打電話，開發陌生或潛在客戶，公司福利升遷不錯，還有完整教育訓練，但現在人怕被詐騙，所以也常常會被掛電話，尤其詢問汽車貸款業務，要有足夠開口勇氣。,要敢開口開發客戶，熟汽車常識、保險、借貸等基礎法律問題，不怕被客戶拒絕。說很多電話要保護喉嚨和喉糖。
83,車貸徵審專員,匯豐汽車股份有限公司,2023.03.09,全職,臺北,34-35k,650-660k,100k,22k,,120k,有苦說不出,常常加班,10 hr,1,1,"車貸審核，檢視客戶財力資料。辦公室在北投營業所樓上，不過我在職期間廁所走廊要自行打掃😅
福利很棒，做了半年後常常不知道為什麼有那麼多獎金，不像是一般的行政內勤，北區的主管人也都很好。公司地點離捷運站蠻近的。
隨著年資增長會有不同的職級加薪制度。",新鮮人想做內勤行政性質的很適合來這邊，可以賺到很不錯的薪水，當時的我剛畢業薪資就贏過很多人了，但需要付出
84,技師,匯豐汽車股份有限公司,2022.12.12,全職,新竹,30-31k,360-370k,,,,,非常開心,準時上下班,8 hr,1,1,"每天上班被廠長釘業績，業績沒達到，廠長就會說：業績沒達到，是公司在養你你知道嗎？
講真的每天保養、維修車輛數又不多，輪胎、電瓶、定位有報價，客人也不一定要換，因為外場便宜很多。況且車子已經賣不好了，每個月廠業績越定越高，根本很難達到。",建議去別廠牌車子賣得比較好的保養廠做，不然匯豐商用客戶已經慢慢流向豐田，中華產品也沒在創新，在沒幾年也沒什麼車能做了
85,助理,匯豐汽車股份有限公司,2022.11.11,全職,臺中,30-31k,360-370k,,,,,平常心,偶爾加班,9 hr,6,6,行政作業居多，內業為主，但偶而要有外出的可能性，光是入貴公司，我的職位因為公司業務考量，直接變更職務，依照區域績效扣本薪，看似走團體戰，但畢竟是汽車業務環境，每個人都是各顧各的，但不得說年終獎金會讓妳很有感，目前離開了，只能說前一兩年的大亂鬥，導致一些老臣們都離開，也間接影響下面的員工被迫有苦說不出的被離職，表面是自願，但實際就是要妳離開,拜訪外勤要花自己的油錢，作業時常改來改去，臨時變動是常有的事情，聽說以前福利很好，但畢竟是以前，還有主管不是永遠，只要能待不要畏懼才是王道
